2025-08-10 22:12:27,160 [Worker-0: Launching Executing clean in C__Users_Apoorva_Documents_workspace-sts1_course-service] INFO  o.eclipse.m2e.core.internal.Bundles - 	Entry: C:\Users\Apoorva\Downloads\spring-tools-for-eclipse-4.31.0.RELEASE-e4.36.0-win32.win32.x86_64\sts-4.31.0.RELEASE\plugins\org.eclipse.m2e.maven.runtime_3.9.900.20250220-2013\jars\maven-settings-builder-3.9.9.jar
2025-08-10 22:12:27,161 [Worker-0: Launching Executing clean in C__Users_Apoorva_Documents_workspace-sts1_course-service] INFO  o.eclipse.m2e.core.internal.Bundles - 	Entry: C:\Users\Apoorva\Downloads\spring-tools-for-eclipse-4.31.0.RELEASE-e4.36.0-win32.win32.x86_64\sts-4.31.0.RELEASE\plugins\org.eclipse.m2e.maven.runtime_3.9.900.20250220-2013\jars\maven-shared-utils-3.4.2.jar
2025-08-10 22:12:27,161 [Worker-0: Launching Executing clean in C__Users_Apoorva_Documents_workspace-sts1_course-service] INFO  o.eclipse.m2e.core.internal.Bundles - 	Entry: C:\Users\Apoorva\Downloads\spring-tools-for-eclipse-4.31.0.RELEASE-e4.36.0-win32.win32.x86_64\sts-4.31.0.RELEASE\plugins\org.eclipse.m2e.maven.runtime_3.9.900.20250220-2013\jars\org.eclipse.sisu.inject-0.9.0.M3.jar
2025-08-10 22:12:27,161 [Worker-0: Launching Executing clean in C__Users_Apoorva_Documents_workspace-sts1_course-service] INFO  o.eclipse.m2e.core.internal.Bundles - 	Entry: C:\Users\Apoorva\Downloads\spring-tools-for-eclipse-4.31.0.RELEASE-e4.36.0-win32.win32.x86_64\sts-4.31.0.RELEASE\plugins\org.eclipse.m2e.maven.runtime_3.9.900.20250220-2013\jars\org.eclipse.sisu.plexus-0.9.0.M3.jar
2025-08-10 22:12:27,162 [Worker-0: Launching Executing clean in C__Users_Apoorva_Documents_workspace-sts1_course-service] INFO  o.eclipse.m2e.core.internal.Bundles - 	Entry: C:\Users\Apoorva\Downloads\spring-tools-for-eclipse-4.31.0.RELEASE-e4.36.0-win32.win32.x86_64\sts-4.31.0.RELEASE\plugins\org.eclipse.m2e.maven.runtime_3.9.900.20250220-2013\jars\plexus-build-api-0.0.7.jar
2025-08-10 22:12:27,163 [Worker-0: Launching Executing clean in C__Users_Apoorva_Documents_workspace-sts1_course-service] INFO  o.eclipse.m2e.core.internal.Bundles - 	Entry: C:\Users\Apoorva\Downloads\spring-tools-for-eclipse-4.31.0.RELEASE-e4.36.0-win32.win32.x86_64\sts-4.31.0.RELEASE\plugins\org.eclipse.m2e.maven.runtime_3.9.900.20250220-2013\jars\plexus-build-api-1.2.0.jar
2025-08-10 22:12:27,164 [Worker-0: Launching Executing clean in C__Users_Apoorva_Documents_workspace-sts1_course-service] INFO  o.eclipse.m2e.core.internal.Bundles - 	Entry: C:\Users\Apoorva\Downloads\spring-tools-for-eclipse-4.31.0.RELEASE-e4.36.0-win32.win32.x86_64\sts-4.31.0.RELEASE\plugins\org.eclipse.m2e.maven.runtime_3.9.900.20250220-2013\jars\plexus-cipher-2.0.jar
2025-08-10 22:12:27,165 [Worker-0: Launching Executing clean in C__Users_Apoorva_Documents_workspace-sts1_course-service] INFO  o.eclipse.m2e.core.internal.Bundles - 	Entry: C:\Users\Apoorva\Downloads\spring-tools-for-eclipse-4.31.0.RELEASE-e4.36.0-win32.win32.x86_64\sts-4.31.0.RELEASE\plugins\org.eclipse.m2e.maven.runtime_3.9.900.20250220-2013\jars\plexus-classworlds-2.8.0.jar
2025-08-10 22:12:27,165 [Worker-0: Launching Executing clean in C__Users_Apoorva_Documents_workspace-sts1_course-service] INFO  o.eclipse.m2e.core.internal.Bundles - 	Entry: C:\Users\Apoorva\Downloads\spring-tools-for-eclipse-4.31.0.RELEASE-e4.36.0-win32.win32.x86_64\sts-4.31.0.RELEASE\plugins\org.eclipse.m2e.maven.runtime_3.9.900.20250220-2013\jars\plexus-component-annotations-2.1.0.jar
2025-08-10 22:12:27,166 [Worker-0: Launching Executing clean in C__Users_Apoorva_Documents_workspace-sts1_course-service] INFO  o.eclipse.m2e.core.internal.Bundles - 	Entry: C:\Users\Apoorva\Downloads\spring-tools-for-eclipse-4.31.0.RELEASE-e4.36.0-win32.win32.x86_64\sts-4.31.0.RELEASE\plugins\org.eclipse.m2e.maven.runtime_3.9.900.20250220-2013\jars\plexus-interpolation-1.27.jar
